condition,noise_id,snr_db,clips,texts,critical_clips,wer,fact_recovery,estoi,dnsmos_ovrl
clean,clean,,42,21,14,0.10629813486956345,0.9591836734693878,,3.0952790882230965
competing_speech_-5dB,competing_speech,-5.0,42,21,14,0.2643947518947519,0.7142857142857143,0.7867890632142677,2.850523344433053
competing_speech_0dB,competing_speech,0.0,42,21,14,0.19060872096586384,0.8979591836734694,0.8192353736714492,2.797489975070077
environment_-5dB,environment,-5.0,42,21,14,0.12318211068211068,0.9387755102040816,0.5910413448155639,2.1172394474562135
environment_0dB,environment,0.0,42,21,14,0.1164759146902004,0.9489795918367346,0.6874584378564482,2.336309964455085
